nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17,Unnamed: 18,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col12,Col13
P2,Intensity Max,240,240,240,0,240,240,240,240,1,,Surface,2,,Image 1,,17,,,,,,,,,,,,,,
P2,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,2,,Image 1,,18,,,,,,,,,,,,,,
P2,Intensity Max,231,231,231,0,231,231,231,231,1,,Surface,2,,Image 1,,19,,,,,,,,,,,,,,
P2,Intensity Max,306,306,306,0,306,306,306,306,1,,Surface,2,,Image 1,,20,,,,,,,,,,,,,,
P2,Intensity Max,248,248,248,0,248,248,248,248,1,,Surface,2,,Image 1,,21,,,,,,,,,,,,,,
P2,Intensity Max,297,297,297,0,297,297,297,297,1,,Surface,2,,Image 1,,22,,,,,,,,,,,,,,
P2,Intensity Max,800,800,800,0,800,800,800,800,1,,Surface,2,,Image 1,,23,,,,,,,,,,,,,,
P2,Intensity Max,1069,1069,1069,0,1069,1069,1069,1069,1,,Surface,2,,Image 1,,24,,,,,,,,,,,,,,
P2,Intensity Max,1211,1211,1211,0,1211,1211,1211,1211,1,,Surface,2,,Image 1,,25,,,,,,,,,,,,,,
P2,Intensity Max,1677,1677,1677,0,1677,1677,1677,1677,1,,Surface,2,,Image 1,,26,,,,,,,,,,,,,,
P2,Intensity Max,1581,1581,1581,0,1581,1581,1581,1581,1,,Surface,2,,Image 1,,27,,,,,,,,,,,,,,
P2,Intensity Max,1252,1252,1252,0,1252,1252,1252,1252,1,,Surface,2,,Image 1,,28,,,,,,,,,,,,,,
P2,Intensity Max,677,677,677,0,677,677,677,677,1,,Surface,2,,Image 1,,29,,,,,,,,,,,,,,
P2,Intensity Max,1473,1473,1473,0,1473,1473,1473,1473,1,,Surface,2,,Image 1,,30,,,,,,,,,,,,,,
P2,Intensity Max,213,1917,1065,852,1065,639.5,1491.5,2130,2,,Surface,2,,Image 1,,31,,,,,,,,,,,,,,
P2,Intensity Max,1429,1429,1429,0,1429,1429,1429,1429,1,,Surface,2,,Image 1,,32,,,,,,,,,,,,,,
P2,Intensity Max,1535,1535,1535,0,1535,1535,1535,1535,1,,Surface,2,,Image 1,,33,,,,,,,,,,,,,,
P2,Intensity Max,1528,1528,1528,0,1528,1528,1528,1528,1,,Surface,2,,Image 1,,34,,,,,,,,,,,,,,
P2,Intensity Max,1143,1143,1143,0,1143,1143,1143,1143,1,,Surface,2,,Image 1,,35,,,,,,,,,,,,,,
P2,Intensity Max,1527,1527,1527,0,1527,1527,1527,1527,1,,Surface,2,,Image 1,,36,,,,,,,,,,,,,,
