nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,Unnamed: 18,Unnamed: 17
ABpr,Intensity Max,750,750,750,0,750,750,750,750,1,,Surface,1,,,Image 1,,30,,
EMS,Intensity Max,321,321,321,0,321,321,321,321,1,,Surface,1,,,Image 1,,9,,
EMS,Intensity Max,279,279,279,0,279,279,279,279,1,,Surface,1,,,Image 1,,10,,
EMS,Intensity Max,282,282,282,0,282,282,282,282,1,,Surface,1,,,Image 1,,11,,
EMS,Intensity Max,498,498,498,0,498,498,498,498,1,,Surface,1,,,Image 1,,12,,
EMS,Intensity Max,787,787,787,0,787,787,787,787,1,,Surface,1,,,Image 1,,13,,
EMS,Intensity Max,1174,1174,1174,0,1174,1174,1174,1174,1,,Surface,1,,,Image 1,,14,,
EMS,Intensity Max,1994,1994,1994,0,1994,1994,1994,1994,1,,Surface,1,,,Image 1,,15,,
EMS,Intensity Max,2240,2240,2240,0,2240,2240,2240,2240,1,,Surface,1,,,Image 1,,16,,
EMS,Intensity Max,1348,1348,1348,0,1348,1348,1348,1348,1,,Surface,1,,,Image 1,,17,,
EMS,Intensity Max,1436,1436,1436,0,1436,1436,1436,1436,1,,Surface,1,,,Image 1,,18,,
EMS,Intensity Max,1312,1312,1312,0,1312,1312,1312,1312,1,,Surface,1,,,Image 1,,19,,
EMS,Intensity Max,662,662,662,0,662,662,662,662,1,,Surface,1,,,Image 1,,20,,
P2,Intensity Max,204,204,204,0,204,204,204,204,1,,Surface,1,,,Image 1,,9,,
P2,Intensity Max,273,273,273,0,273,273,273,273,1,,Surface,1,,,Image 1,,10,,
P2,Intensity Max,333,333,333,0,333,333,333,333,1,,Surface,1,,,Image 1,,11,,
P2,Intensity Max,260,260,260,0,260,260,260,260,1,,Surface,1,,,Image 1,,12,,
P2,Intensity Max,327,327,327,0,327,327,327,327,1,,Surface,1,,,Image 1,,13,,
P2,Intensity Max,643,643,643,0,643,643,643,643,1,,Surface,1,,,Image 1,,14,,
P2,Intensity Max,1288,1288,1288,0,1288,1288,1288,1288,1,,Surface,1,,,Image 1,,15,,
P2,Intensity Max,1479,1479,1479,0,1479,1479,1479,1479,1,,Surface,1,,,Image 1,,16,,
P2,Intensity Max,1348,1348,1348,0,1348,1348,1348,2696,2,,Surface,1,,,Image 1,,17,,
P2,Intensity Max,1115,1115,1115,0,1115,1115,1115,2230,2,,Surface,1,,,Image 1,,18,,
P2,Intensity Max,834,834,834,0,834,834,834,1668,2,,Surface,1,,,Image 1,,19,,
P2,Intensity Max,525,525,525,0,525,525,525,525,1,,Surface,1,,,Image 1,,20,,
P2,Intensity Max,468,468,468,0,468,468,468,468,1,,Surface,1,,,Image 1,,21,,
P2,Intensity Max,688,688,688,0,688,688,688,688,1,,Surface,1,,,Image 1,,22,,
P2,Intensity Max,471,471,471,0,471,471,471,471,1,,Surface,1,,,Image 1,,23,,
P2,Intensity Max,596,596,596,0,596,596,596,596,1,,Surface,1,,,Image 1,,24,,
P2,Intensity Max,580,580,580,0,580,580,580,580,1,,Surface,1,,,Image 1,,25,,
P2,Intensity Max,831,831,831,0,831,831,831,831,1,,Surface,1,,,Image 1,,26,,
P2,Intensity Max,669,669,669,0,669,669,669,669,1,,Surface,1,,,Image 1,,27,,
P2,Intensity Max,1048,1048,1048,0,1048,1048,1048,1048,1,,Surface,1,,,Image 1,,28,,
P2,Intensity Max,1599,1599,1599,0,1599,1599,1599,1599,1,,Surface,1,,,Image 1,,29,,
P2,Intensity Max,1043,1043,1043,0,1043,1043,1043,1043,1,,Surface,1,,,Image 1,,30,,
P2,Intensity Max,798,798,798,0,798,798,798,798,1,,Surface,1,,,Image 1,,31,,
P2,Intensity Max,742,742,742,0,742,742,742,742,1,,Surface,1,,,Image 1,,32,,
