
Overall
 ==================== 
Variable,Value,Unit,Class,Time,ID,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,80,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,81,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,82,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,83,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,84,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,85,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,86,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,87,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,88,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,89,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,90,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,91,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,92,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,93,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,94,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,95,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,96,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,97,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,98,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,99,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,100,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,101,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,102,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,103,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,104,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,105,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,106,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,107,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,108,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,109,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,110,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,111,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,112,,
Number of labelled Spots per Class per Time Point,2.000,,Set 1::Class B,113,,
