Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time
Area,49.162,161.486,98.448,37.502,92.503,67.062,130.734,984.478,10,µm^2,Surface,,,,,,98
Area,47.101,160.541,98.749,36.592,92.632,68.328,131.516,987.488,10,µm^2,Surface,,,,,,99
Area,43.776,160.807,98.815,36.334,93.186,68.531,131.234,988.155,10,µm^2,Surface,,,,,,100
Area,44.92,159.102,98.719,35.61,92.461,70.484,128.438,987.186,10,µm^2,Surface,,,,,,101
Area,44.862,159.243,97.672,35.909,92.073,66.969,126.641,976.722,10,µm^2,Surface,,,,,,102
Area,44.802,159.064,98.23,36.178,91.69,67.531,130.828,982.296,10,µm^2,Surface,,,,,,103
Area,42.252,159.249,98.182,35.824,91.952,69.297,127.266,981.819,10,µm^2,Surface,,,,,,104
Area,40.978,158.383,98.562,36.287,92.367,70.375,130.906,985.616,10,µm^2,Surface,,,,,,105
Area,44.178,157.974,98.524,35.641,92.891,68.141,129.469,985.24,10,µm^2,Surface,,,,,,106
Area,44.849,157.132,98.482,35.306,92.763,68.359,130.625,984.82,10,µm^2,Surface,,,,,,107
Area,63.953,156.662,103.91,32.027,104.403,74.406,131.844,935.188,9,µm^2,Surface,,,,,,108
Area,44.038,158.852,98.383,35.963,94.105,67.125,130.547,983.834,10,µm^2,Surface,,,,,,109
Area,64.68,158.163,104.647,31.843,105.87,76.156,130.344,941.82,9,µm^2,Surface,,,,,,110
Area,44.601,158.51,98.183,35.796,94.481,68.969,129.672,981.83,10,µm^2,Surface,,,,,,111
Area,63.247,158.154,104.229,32.263,104.141,76.781,130.969,938.061,9,µm^2,Surface,,,,,,112
Area,35.694,156.673,100.436,37.134,103.681,76.406,131.969,903.926,9,µm^2,Surface,,,,,,113
Area,40.898,158.846,97.526,36.397,92.941,67.047,128.125,975.262,10,µm^2,Surface,,,,,,114
Area,45.812,157.205,98.643,35.164,93.461,68.859,129.844,986.432,10,µm^2,Surface,,,,,,115
Area,37.877,158.277,97.241,36.542,92.51,68.047,129.359,972.412,10,µm^2,Surface,,,,,,116
Area,64.768,156.234,108.65,30.25,113.264,80,131.312,869.203,8,µm^2,Surface,,,,,,117
Area,41.774,157.022,98.097,34.567,93.019,70.625,127.672,980.968,10,µm^2,Surface,,,,,,118
