nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
ABal,Intensity Max,306,306,306,0,306,306,306,306,1,,Surface,1,,Image 1,,31,
ABpl,Intensity Max,356,356,356,0,356,356,356,356,1,,Surface,1,,Image 1,,18,
ABpl,Intensity Max,667,667,667,0,667,667,667,667,1,,Surface,1,,Image 1,,19,
ABpl,Intensity Max,436,436,436,0,436,436,436,436,1,,Surface,1,,Image 1,,20,
ABpl,Intensity Max,541,541,541,0,541,541,541,541,1,,Surface,1,,Image 1,,21,
ABpl,Intensity Max,1226,1226,1226,0,1226,1226,1226,1226,1,,Surface,1,,Image 1,,22,
ABpl,Intensity Max,4372,4372,4372,0,4372,4372,4372,4372,1,,Surface,1,,Image 1,,23,
ABpl,Intensity Max,5167,5167,5167,0,5167,5167,5167,5167,1,,Surface,1,,Image 1,,24,
ABpl,Intensity Max,5210,5210,5210,0,5210,5210,5210,5210,1,,Surface,1,,Image 1,,25,
ABpl,Intensity Max,4926,4926,4926,0,4926,4926,4926,4926,1,,Surface,1,,Image 1,,26,
ABpl,Intensity Max,4179,4179,4179,0,4179,4179,4179,4179,1,,Surface,1,,Image 1,,27,
ABpl,Intensity Max,2192,2192,2192,0,2192,2192,2192,2192,1,,Surface,1,,Image 1,,28,
ABpl,Intensity Max,511,511,511,0,511,511,511,511,1,,Surface,1,,Image 1,,29,
ABpl,Intensity Max,359,359,359,0,359,359,359,359,1,,Surface,1,,Image 1,,30,
ABpl,Intensity Max,336,336,336,0,336,336,336,336,1,,Surface,1,,Image 1,,31,
ABpl,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,1,,Image 1,,32,
ABar,Intensity Max,210,210,210,0,210,210,210,210,1,,Surface,1,,Image 1,,19,
ABar,Intensity Max,197,197,197,0,197,197,197,197,1,,Surface,1,,Image 1,,20,
ABar,Intensity Max,232,232,232,0,232,232,232,232,1,,Surface,1,,Image 1,,21,
ABar,Intensity Max,288,288,288,0,288,288,288,288,1,,Surface,1,,Image 1,,22,
ABar,Intensity Max,690,690,690,0,690,690,690,690,1,,Surface,1,,Image 1,,23,
ABar,Intensity Max,863,863,863,0,863,863,863,863,1,,Surface,1,,Image 1,,24,
ABar,Intensity Max,849,849,849,0,849,849,849,849,1,,Surface,1,,Image 1,,25,
ABar,Intensity Max,639,639,639,0,639,639,639,639,1,,Surface,1,,Image 1,,26,
ABar,Intensity Max,315,315,315,0,315,315,315,315,1,,Surface,1,,Image 1,,27,
ABpr,Intensity Max,199,199,199,0,199,199,199,199,1,,Surface,1,,Image 1,,19,
ABpr,Intensity Max,212,212,212,0,212,212,212,212,1,,Surface,1,,Image 1,,20,
ABpr,Intensity Max,201,201,201,0,201,201,201,201,1,,Surface,1,,Image 1,,21,
ABpr,Intensity Max,256,256,256,0,256,256,256,256,1,,Surface,1,,Image 1,,22,
ABpr,Intensity Max,254,254,254,0,254,254,254,254,1,,Surface,1,,Image 1,,23,
ABpr,Intensity Max,296,296,296,0,296,296,296,296,1,,Surface,1,,Image 1,,24,
ABpr,Intensity Max,320,320,320,0,320,320,320,320,1,,Surface,1,,Image 1,,25,
ABpr,Intensity Max,374,374,374,0,374,374,374,374,1,,Surface,1,,Image 1,,26,
ABpr,Intensity Max,287,287,287,0,287,287,287,287,1,,Surface,1,,Image 1,,27,
